iter	Passed	Remaining
477	668	729
478	669	728
479	670	726
480	671	724
481	672	722
482	673	721
483	675	719
484	676	718
485	677	716
486	678	715
487	680	713
488	681	712
489	682	710
490	683	708
491	684	706
492	686	705
493	687	703
494	688	702
495	689	701
496	691	699
497	692	698
498	694	697
499	695	695
500	696	694
501	698	692
502	699	691
503	700	689
504	701	687
505	702	686
506	704	684
507	705	683
508	707	682
509	708	680
510	709	678
511	710	677
512	711	675
513	712	673
514	713	672
515	715	670
516	716	669
517	717	667
518	718	666
519	720	664
520	721	663
521	722	661
522	723	660
523	724	658
524	725	656
525	727	655
526	728	653
527	729	652
528	730	650
529	731	648
530	732	647
531	733	645
532	735	644
533	736	642
534	737	641
535	738	639
536	739	637
537	740	636
538	741	634
539	743	633
540	744	631
541	745	629
542	746	628
543	747	626
544	748	625
545	750	623
546	751	622
547	752	620
548	754	619
549	755	617
550	756	616
551	757	614
552	758	613
553	759	611
554	760	609
555	761	608
556	763	606
557	764	605
558	765	604
559	766	602
560	768	601
561	769	599
562	770	597
563	771	596
564	772	594
565	773	593
566	774	591
567	775	589
568	776	588
569	777	586
570	779	585
571	780	584
572	781	582
573	783	581
574	784	580
575	786	578
576	787	577
577	788	575
578	789	574
579	790	572
580	792	571
581	793	569
582	794	568
583	795	566
584	797	565
585	798	563
586	799	562
587	800	560
588	801	559
589	802	557
590	803	556
591	805	554
592	806	553
593	807	551
594	808	550
595	809	548
596	811	547
597	812	546
598	813	544
599	814	543
600	815	541
601	816	540
602	818	538
603	819	537
604	820	535
605	821	534
606	823	532
607	824	531
608	825	530
609	827	528
610	828	527
611	829	525
612	830	524
613	831	522
614	832	521
615	834	519
616	835	518
617	836	516
618	837	515
619	838	514
620	840	512
621	841	511
622	842	509
623	843	508
624	844	506
625	846	505
626	847	504
627	848	502
628	849	501
629	850	499
630	851	498
631	853	496
632	854	495
633	856	494
634	857	492
635	858	491
636	859	489
637	860	488
638	861	486
639	863	485
640	864	483
641	865	482
642	866	481
643	867	479
644	868	478
645	870	476
646	871	475
647	872	474
648	873	472
649	875	471
650	876	469
651	877	468
652	878	466
653	879	465
654	880	464
655	882	462
656	883	461
657	884	459
658	885	458
659	887	456
660	888	455
661	889	454
662	890	452
663	891	451
664	892	449
665	893	448
666	895	446
667	895	445
668	896	443
669	897	442
670	898	440
671	899	439
672	901	437
673	902	436
674	903	434
675	904	433
676	905	431
677	906	430
678	907	429
679	908	427
680	909	426
681	910	424
682	911	423
683	912	421
684	913	420
685	914	418
686	915	417
687	917	415
688	918	414
689	919	412
690	920	411
691	921	410
692	922	408
693	924	407
694	925	406
695	926	404
696	927	403
697	928	401
698	929	400
699	931	399
700	932	397
701	933	396
702	934	394
703	936	393
704	937	392
705	938	390
706	939	389
707	940	387
708	941	386
709	942	385
710	943	383
711	945	382
712	946	381
713	947	379
714	949	378
715	950	376
716	951	375
717	952	374
718	953	372
719	954	371
720	956	369
721	957	368
722	958	367
723	959	365
724	960	364
725	962	363
726	963	361
727	964	360
728	965	358
729	966	357
730	967	356
731	968	354
732	969	353
733	971	351
734	972	350
735	973	349
736	974	347
737	975	346
738	977	345
739	978	343
740	979	342
741	980	341
742	982	339
743	983	338
744	984	336
745	985	335
746	986	334
747	987	332
748	988	331
749	989	329
750	991	328
751	992	327
752	993	325
753	995	324
754	996	323
755	997	321
756	998	320
757	999	319
758	1000	317
759	1002	316
760	1003	315
761	1004	313
762	1005	312
763	1007	311
764	1008	309
765	1009	308
766	1010	307
767	1011	305
768	1013	304
769	1014	302
770	1015	301
771	1016	300
772	1018	298
773	1020	297
774	1021	296
775	1022	295
776	1024	293
777	1025	292
778	1026	291
779	1028	290
780	1029	288
781	1030	287
782	1032	286
783	1033	284
784	1035	283
785	1036	282
786	1038	280
787	1039	279
788	1040	278
789	1042	277
790	1043	275
791	1045	274
792	1046	273
793	1047	271
794	1048	270
795	1050	269
796	1052	267
797	1053	266
798	1054	265
799	1056	264
800	1057	262
801	1058	261
802	1059	260
803	1061	258
804	1062	257
805	1063	256
806	1065	254
807	1066	253
808	1067	252
809	1069	250
810	1070	249
811	1072	248
812	1073	246
813	1074	245
814	1075	244
815	1077	242
816	1078	241
817	1079	240
818	1081	238
819	1082	237
820	1084	236
821	1085	235
822	1086	233
823	1088	232
824	1089	231
825	1090	229
826	1091	228
827	1093	227
828	1094	225
829	1096	224
830	1097	223
831	1098	221
832	1099	220
833	1100	219
834	1102	217
835	1103	216
836	1104	215
837	1105	213
838	1107	212
839	1108	211
840	1109	209
841	1111	208
842	1112	207
843	1113	205
844	1114	204
845	1116	203
846	1117	201
847	1119	200
848	1120	199
849	1121	197
850	1123	196
851	1124	195
852	1125	194
853	1127	192
854	1128	191
855	1129	190
856	1130	188
857	1132	187
858	1133	186
859	1134	184
860	1135	183
861	1136	181
862	1137	180
863	1138	179
864	1140	177
865	1141	176
866	1142	175
867	1143	173
868	1144	172
869	1146	171
870	1147	169
871	1148	168
872	1149	167
873	1151	165
874	1152	164
875	1153	163
876	1154	161
877	1156	160
878	1157	159
879	1158	157
880	1159	156
881	1160	155
882	1162	153
883	1163	152
884	1164	151
885	1165	149
886	1166	148
887	1167	147
888	1168	145
889	1169	144
890	1171	143
891	1172	141
892	1173	140
893	1175	139
894	1176	137
895	1177	136
896	1178	135
897	1179	134
898	1180	132
899	1182	131
900	1183	130
901	1184	128
902	1185	127
903	1186	126
904	1188	124
905	1189	123
906	1190	122
907	1191	120
908	1192	119
909	1193	118
910	1194	116
911	1195	115
912	1196	114
913	1198	112
914	1199	111
915	1200	110
916	1202	108
917	1203	107
918	1204	106
919	1205	104
920	1206	103
921	1207	102
922	1208	100
923	1209	99
924	1211	98
925	1212	96
926	1213	95
927	1214	94
928	1215	92
929	1217	91
930	1218	90
931	1219	88
932	1220	87
933	1221	86
934	1222	85
935	1224	83
936	1225	82
937	1226	81
938	1227	79
939	1228	78
940	1229	77
941	1231	75
942	1232	74
943	1233	73
944	1234	71
945	1235	70
946	1236	69
947	1237	67
948	1238	66
949	1240	65
950	1241	63
951	1242	62
952	1243	61
953	1244	60
954	1246	58
955	1247	57
956	1248	56
957	1249	54
958	1250	53
959	1251	52
960	1253	50
961	1254	49
962	1255	48
963	1256	46
964	1257	45
965	1258	44
966	1259	42
967	1261	41
968	1262	40
969	1263	39
970	1264	37
971	1265	36
972	1266	35
973	1268	33
974	1269	32
975	1270	31
976	1271	29
977	1272	28
978	1274	27
979	1275	26
980	1276	24
981	1277	23
982	1278	22
983	1280	20
984	1281	19
985	1282	18
986	1283	16
987	1284	15
988	1286	14
989	1287	13
990	1288	11
991	1289	10
992	1290	9
993	1292	7
994	1293	6
995	1294	5
996	1295	3
997	1296	2
998	1298	1
999	1299	0
